Taxon,UTM10x10,UTM1x1,Ref,References
Puccinellia festuciformis,30TUM55,NA,"Rodríguez García, A., Alfaro-Saiz, E., Alonso, R., García González, M.E. (2014). Aportaciones a la flora de las zonas húmedas de la provincia de Palencia. Flora Montiberica, 56: 29-46.",NA
Puccinellia festuciformis,30TUM88,NA,"Rodríguez García, A., Alfaro-Saiz, E., Alonso, R., García González, M.E. (2014). Aportaciones a la flora de las zonas húmedas de la provincia de Palencia. Flora Montiberica, 56: 29-46.",NA
Puccinellia festuciformis,30TUM66,NA,"Rodríguez García, A., Alfaro-Saiz, E., Alonso, R., García González, M.E. (2014). Aportaciones a la flora de las zonas húmedas de la provincia de Palencia. Flora Montiberica, 56: 29-46.",NA
Pulicaria paludosa,30TUM77,NA,"Rodríguez García, A., Alfaro-Saiz, E., Alonso, R., García González, M.E. (2014). Aportaciones a la flora de las zonas húmedas de la provincia de Palencia. Flora Montiberica, 56: 29-46.",NA
Pulicaria paludosa,30TUN59,NA,"Rodríguez García, A., Alfaro-Saiz, E., Alonso, R., García González, M.E. (2014). Aportaciones a la flora de las zonas húmedas de la provincia de Palencia. Flora Montiberica, 56: 29-46.",NA
Pulicaria paludosa,30TUM45,NA,"Rodríguez García, A., Alfaro-Saiz, E., Alonso, R., García González, M.E. (2014). Aportaciones a la flora de las zonas húmedas de la provincia de Palencia. Flora Montiberica, 56: 29-46.",NA
Pulicaria paludosa,30TUM49,NA,"Rodríguez García, A., Alfaro-Saiz, E., Alonso, R., García González, M.E. (2014). Aportaciones a la flora de las zonas húmedas de la provincia de Palencia. Flora Montiberica, 56: 29-46.",NA
Quercus subpyrenaica,30TWM78,30TWM7085,NA,https://doi.org/10.15470/j3rugb
Quercus subpyrenaica,30TWM78,30TWM7085,NA,https://doi.org/10.15470/j3rugb
Aira caryophyllea,30TTN84,NA,NA,https://doi.org/10.15470/j3rugb
Bromus racemosus,30TTN83,NA,NA,https://doi.org/10.15470/j3rugb
Cistus psilosepalus,NA,NA,NA,https://doi.org/10.15470/j3rugb
Lavandula pedunculata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Quercus subpyrenaica,30TWM34,30TWM3742,NA,https://doi.org/10.15470/j3rugb
Cytisus scoparius,30SUF76,30SUF7269,NA,https://doi.org/10.15470/j3rugb
Carex rupestris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex rupestris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex leporina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex divisa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex echinata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sylvatica sylvatica,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex elata reuteriana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex laevigata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex distachya,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex leporina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex divisa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex echinata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex distachya,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex laevigata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex remota,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex elata reuteriana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex depauperata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex paniculata lusitanica,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex distachya,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex flacca,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pairae,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex paniculata lusitanica,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex divisa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex hirta,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex ferruginea ferruginea,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex lepidocarpa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex panicea,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex halleriana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pulicaris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex vesicaria,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pilulifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex leporina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex echinata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex remota,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex punctata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex extensa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex extensa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex flava,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex elata reuteriana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex panicea,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex ornithopoda,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex rostrata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex lepidocarpa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex disticha,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pulicaris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex rostrata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sempervirens,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex diandra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex flacca,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex flacca,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex rupestris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pseudocyperus,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex leporina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pilulifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pairae,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pairae,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex halleriana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex laevigata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex hirta,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex leporina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pairae,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex cuprina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Scabiosa atropurpurea,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex parviflora,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex panicea,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex flava,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex foetida,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex leporina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex riparia,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex dioica,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex hispida,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sempervirens,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pilulifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex macrostyla,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex lepidocarpa,30T6947,30T694874,NA,https://doi.org/10.15470/j3rugb
Carex lepidocarpa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex frigida,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex frigida,30T6947,30T694774,NA,https://doi.org/10.15470/j3rugb
Carex elata elata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex davalliana,30T6947,30T694974,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex disticha,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pilulifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex lepidocarpa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex rostrata,29T7385,29T738254,NA,https://doi.org/10.15470/j3rugb
Carex echinata,29T7385,29T738254,NA,https://doi.org/10.15470/j3rugb
Carex pilulifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex panicea,29T7385,29T738254,NA,https://doi.org/10.15470/j3rugb
Carex flacca,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex lepidocarpa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pulicaris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex flacca,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex panicea,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex laevigata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex elata reuteriana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex distachya,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex cuprina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex flacca,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex divisa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pilulifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pairae,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex divulsa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pairae,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex cuprina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex muricata muricata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex depauperata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex depauperata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex depauperata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex panicea,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pallescens,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pallescens,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pilulifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex muricata muricata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex muricata muricata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex rostrata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex depauperata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex leersii,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex depressa depressa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex tomentosa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex depauperata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex trinervis,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex trinervis,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex trinervis,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex trinervis,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex trinervis,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex trinervis,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex montana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pilulifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sylvatica sylvatica,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex echinata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pulicaris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex leporina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex echinata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex davalliana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pilulifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex rostrata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex lepidocarpa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex disticha,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex depauperata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex depauperata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sylvatica sylvatica,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex ornithopoda,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex ornithopoda,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex ornithopoda,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex macrostyla,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sempervirens,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sempervirens,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sylvatica sylvatica,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex lepidocarpa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sylvatica sylvatica,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex halleriana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex frigida,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sempervirens pseudotristis,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex foetida,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pendula,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex remota,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pallescens,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sempervirens,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pallescens,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex foetida,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex curvula,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex curvula,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex ferruginea ferruginea,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex curvula,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex myosuroides,NA,NA,NA,https://doi.org/10.15470/j3rugb
Odontites vernus,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex divulsa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex depressa depressa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex echinata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex durieui,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex durieui,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex panicea,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex echinata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex remota,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex muricata muricata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex distans,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pairae,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sempervirens pseudotristis,NA,NA,NA,https://doi.org/10.15470/j3rugb
Blysmus compressus,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sempervirens pseudotristis,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex frigida,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex hirta,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex hirta,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex hirta,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pyrenaica,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex depressa basilaris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sempervirens pseudotristis,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pilulifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex macrostyla,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sempervirens pseudotristis,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex macrostyla,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sempervirens pseudotristis,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex frigida,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sempervirens pseudotristis,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex frigida,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex divisa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex punctata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex punctata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pilulifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex distans,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex vesicaria,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex rostrata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sempervirens,30TUN58,30TUN5683,NA,https://doi.org/10.15470/j3rugb
Carex hirta,NA,NA,NA,https://doi.org/10.15470/j3rugb
Eleocharis palustris,30TWN15,30TWN1157,NA,https://doi.org/10.15470/j3rugb
Lactuca perennis,30TYM28,30TYM2988,NA,https://doi.org/10.15470/j3rugb
Calocedrus decurrens,30TWN24,NA,NA,https://doi.org/10.15470/j3rugb
Juncus acutus,30TVN93,30TVN9931,NA,https://doi.org/10.15470/j3rugb
Leucanthemum ircutianum cantabricum,30TWN33,30TWN3439,NA,https://doi.org/10.15470/j3rugb
Laburnum anagyroides,30TWN23,30TWN2138,NA,https://doi.org/10.15470/j3rugb
Campanula hispanica,30TWN31,30TWN3316,NA,https://doi.org/10.15470/j3rugb
Campanula tracheliifolia,30TWN31,30TWN3316,NA,https://doi.org/10.15470/j3rugb
Nepeta nepetella,30TWM55,30TWM5451,NA,https://doi.org/10.15470/j3rugb
Sanguisorba minor,NA,NA,NA,https://doi.org/10.15470/j3rugb
Ononis spinosa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Cruciata glabra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Tulipa sylvestris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Viola reichenbachiana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Stellaria holostea,NA,NA,NA,https://doi.org/10.15470/j3rugb
Polygala microphylla,NA,NA,NA,https://doi.org/10.15470/j3rugb
Ranunculus gramineus,NA,NA,NA,https://doi.org/10.15470/j3rugb
Ranunculus ficaria,NA,NA,NA,https://doi.org/10.15470/j3rugb
Betula celtiberica,NA,NA,NA,https://doi.org/10.15470/j3rugb
Phalacrocarpum oppositifolium,NA,NA,NA,https://doi.org/10.15470/j3rugb
Juniperus thurifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Primula veris,30T4753,30T475134,NA,https://doi.org/10.15470/j3rugb
Carex pairae,NA,NA,NA,https://doi.org/10.15470/j3rugb
Eriophorum latifolium,NA,NA,NA,https://doi.org/10.15470/j3rugb
Eriophorum latifolium,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex davalliana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex davalliana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex panicea,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex diandra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Blysmus compressus,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex rupestris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex caudata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex paniculata lusitanica,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex remota,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex divulsa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex echinata,NA,NA,NA,https://doi.org/10.15470/j3rugb
